Sun Aug 15 22:13:48 CDT 2021
updating
4 pole features not found in sample features
midway2-0124.rcc.local:UCM:ddcb:26930700: 1179742191 us(1179742191 us!!!):  ucm_recv: UNKNOWN msg 0x2880d68, ver 0
midway2-0106.rcc.local:UCM:1bae:c1f2b700: 1179924813 us(1659922 us!!!):  ucm_recv: UNKNOWN msg 0x8a8268, ver 0
midway2-0124.rcc.local:UCM:ddc8:c0546700: 1180144486 us(620246 us!!!):  ucm_recv: UNKNOWN msg 0xd30c68, ver 0
midway2-0124.rcc.local:UCM:ddca:11b30700: 1180147377 us(820418 us!!!):  ucm_recv: UNKNOWN msg 0x1eebb68, ver 0
midway2-0106.rcc.local:UCM:1b99:ee939700: 1180124750 us(6493880 us!!!):  ucm_recv: UNKNOWN msg 0x1a4df68, ver 0
midway2-0106.rcc.local:UCM:1ba7:3a675700: 1180125025 us(3149944 us!!!):  ucm_recv: UNKNOWN msg 0xcb0c68, ver 0
midway2-0124.rcc.local:UCM:ddcc:79f1f700: 1180165137 us(1180165137 us!!!):  ucm_recv: UNKNOWN msg 0x2325868, ver 0
midway2-0124.rcc.local:UCM:ddc5:bc77a700: 1180369157 us(1640086 us!!!):  ucm_recv: UNKNOWN msg 0x232c368, ver 0
midway2-0124.rcc.local:UCM:ddc9:72262700: 1180566601 us(840010 us!!!):  ucm_recv: UNKNOWN msg 0x17b8f68, ver 0
midway2-0124.rcc.local:UCM:ddcb:26930700: 1180562635 us(820444 us!!!):  ucm_recv: UNKNOWN msg 0x2880e68, ver 0
midway2-0124.rcc.local:UCM:ddcd:b5e4700: 1180577986 us(1180577986 us!!!):  ucm_recv: UNKNOWN msg 0xc6db68, ver 0
midway2-0106.rcc.local:UCM:1b9a:78ca4700: 1180771736 us(6395939 us!!!):  ucm_recv: UNKNOWN msg 0x150e168, ver 0
midway2-0124.rcc.local:UCM:ddc6:d6cc9700: 1180778380 us(1459809 us!!!):  ucm_recv: UNKNOWN msg 0x24acf68, ver 0
midway2-0106.rcc.local:UCM:1ba8:469b7700: 1180762100 us(3319695 us!!!):  ucm_recv: UNKNOWN msg 0x111e068, ver 0
midway2-0106.rcc.local:UCM:1ba9:75755700: 1180956918 us(3210181 us!!!):  ucm_recv: UNKNOWN msg 0x114ec68, ver 0
midway2-0124.rcc.local:UCM:ddca:11b30700: 1180983460 us(836083 us!!!):  ucm_recv: UNKNOWN msg 0x1eebc68, ver 0
midway2-0124.rcc.local:UCM:ddcc:79f1f700: 1180981656 us(816519 us!!!):  ucm_recv: UNKNOWN msg 0x2325968, ver 0
midway2-0124.rcc.local:UCM:ddce:42420700: 1180990019 us(1180990019 us!!!):  ucm_recv: UNKNOWN msg 0x2494868, ver 0
midway2-0124.rcc.local:UCM:ddcb:26930700: 1181388581 us(825946 us!!!):  ucm_recv: UNKNOWN msg 0x2880f68, ver 0
midway2-0106.rcc.local:UCM:1b9b:36d47700: 1181372981 us(6216292 us!!!):  ucm_recv: UNKNOWN msg 0xeccd68, ver 0
midway2-0124.rcc.local:UCM:ddc7:75222700: 1181387945 us(1665982 us!!!):  ucm_recv: UNKNOWN msg 0x2725168, ver 0
midway2-0106.rcc.local:UCM:1baa:8e74a700: 1181366909 us(3106215 us!!!):  ucm_recv: UNKNOWN msg 0x1439068, ver 0
midway2-0124.rcc.local:UCM:ddcd:b5e4700: 1181388391 us(810405 us!!!):  ucm_recv: UNKNOWN msg 0xc6dc68, ver 0
midway2-0124.rcc.local:UCM:ddcf:490de700: 1181447942 us(1181447942 us!!!):  ucm_recv: UNKNOWN msg 0x108aa68, ver 0
midway2-0124.rcc.local:UCM:ddc8:c0546700: 1181844467 us(1699981 us!!!):  ucm_recv: UNKNOWN msg 0xd30d68, ver 0
midway2-0124.rcc.local:UCM:ddcc:79f1f700: 1181845547 us(863891 us!!!):  ucm_recv: UNKNOWN msg 0x2325a68, ver 0
midway2-0106.rcc.local:UCM:1b9c:dfcf6700: 1181825095 us(6260227 us!!!):  ucm_recv: UNKNOWN msg 0xecbf68, ver 0
midway2-0124.rcc.local:UCM:ddce:42420700: 1181844429 us(854410 us!!!):  ucm_recv: UNKNOWN msg 0x2494968, ver 0
midway2-0106.rcc.local:UCM:1bab:5a43a700: 1181824445 us(3120327 us!!!):  ucm_recv: UNKNOWN msg 0x1b34d68, ver 0
midway2-0124.rcc.local:UCM:ddd0:386d4700: 1181928024 us(1181928024 us!!!):  ucm_recv: UNKNOWN msg 0x9ca968, ver 0
midway2-0124.rcc.local:UCM:ddc9:72262700: 1182126398 us(1559797 us!!!):  ucm_recv: UNKNOWN msg 0x17b9068, ver 0
midway2-0124.rcc.local:UCM:ddcd:b5e4700: 1182322303 us(933912 us!!!):  ucm_recv: UNKNOWN msg 0xc6dd68, ver 0
midway2-0124.rcc.local:UCM:ddcf:490de700: 1182328266 us(880324 us!!!):  ucm_recv: UNKNOWN msg 0x108ab68, ver 0
midway2-0106.rcc.local:UCM:1b9d:3d3ba700: 1182307848 us(6340188 us!!!):  ucm_recv: UNKNOWN msg 0xe74d68, ver 0
midway2-0106.rcc.local:UCM:1bac:ec687700: 1182301778 us(3204199 us!!!):  ucm_recv: UNKNOWN msg 0x2007168, ver 0
midway2-0124.rcc.local:UCM:ddd1:ea1c3700: 1182387028 us(1182387028 us!!!):  ucm_recv: UNKNOWN msg 0xa6fa68, ver 0
midway2-0124.rcc.local:UCM:ddca:11b30700: 1182575187 us(1591727 us!!!):  ucm_recv: UNKNOWN msg 0x1eebd68, ver 0
midway2-0106.rcc.local:UCM:1b9e:37ac8700: 1182556115 us(6387746 us!!!):  ucm_recv: UNKNOWN msg 0x282bf68, ver 0
midway2-0106.rcc.local:UCM:1bad:67f29700: 1182756084 us(3248132 us!!!):  ucm_recv: UNKNOWN msg 0xad9e68, ver 0
midway2-0124.rcc.local:UCM:ddce:42420700: 1182772540 us(928111 us!!!):  ucm_recv: UNKNOWN msg 0x2494a68, ver 0
